Position,Track Name,Artist,Streams
1,drivers license,Olivia Rodrigo,4864711
2,Save Your Tears,The Weeknd,3796451
3,telepatía,Kali Uchis,3709760
4,Leave The Door Open,Bruno Mars,3431612
5,Astronaut In The Ocean,Masked Wolf,3347150
6,What’s Next,Drake,3337906
7,Blinding Lights,The Weeknd,3130529
8,DÁKITI,Bad Bunny,2973340
9,Hold On,Justin Bieber,2926056
10,Calling My Phone,Lil Tjay,2647947
11,Wants and Needs (feat. Lil Baby),Drake,2645537
12,Streets,Doja Cat,2577598
13,The Business,Tiësto,2546519
14,Bandido,Myke Towers,2501072
15,WITHOUT YOU,The Kid LAROI,2472502
16,Mood (feat. iann dior),24kGoldn,2422565
17,Heartbreak Anniversary,Giveon,2359633
18,Up,Cardi B,2260285
19,LA NOCHE DE ANOCHE,Bad Bunny,2216553
20,Good Days,SZA,2141054
21,Levitating (feat. DaBaby),Dua Lipa,2089091
22,Ella No Es Tuya - Remix,Rochy RD,2014844
23,Dynamite,BTS,1985298
24,Baila Conmigo (with Rauw Alejandro),Selena Gomez,1950641
25,positions,Ariana Grande,1942733
26,Whoopty,CJ,1910800
27,Lemon Pepper Freestyle (feat. Rick Ross),Drake,1860693
28,BICHOTA,KAROL G,1824804
29,34+35,Ariana Grande,1743577
30,Someone You Loved,Lewis Capaldi,1728013
31,Arcade,Duncan Laurence,1726307
32,you broke me first,Tate McRae,1713998
33,Heat Waves,Glass Animals,1682463
34,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,1678042
35,Hecha Pa' Mi,Boza,1672335
36,Anyone,Justin Bieber,1664288
37,We're Good,Dua Lipa,1663846
38,Paradise (feat. Dermot Kennedy),MEDUZA,1654047
39,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1593025
40,Your Love (9PM),ATB,1568602
41,Goosebumps - Remix,Travis Scott,1547680
42,What You Know Bout Love,Pop Smoke,1534835
43,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,1526729
44,Watermelon Sugar,Harry Styles,1522569
45,Therefore I Am,Billie Eilish,1508277
46,GIRL LIKE ME,Black Eyed Peas,1485314
47,Head & Heart (feat. MNEK),Joel Corry,1483853
48,Sweater Weather,The Neighbourhood,1461230
49,ROCKSTAR (feat. Roddy Ricch),DaBaby,1420698
50,Prisoner (feat. Dua Lipa),Miley Cyrus,1366142
